arm_id	estimator	threshold_years	n_null	false_positive_rate	median_p_value
eas_phlash	gamma_smc_frac	1000.0	100	0.0	1.0
eas_phlash	gamma_smc_frac	4500.0	100	0.01	0.68
eas_phlash	gamma_smc_frac	10000.0	100	0.02	0.56
eas_phlash	gamma_smc_frac	20000.0	100	0.03	0.52
eas_phlash	gamma_smc_frac	30000.0	100	0.05	0.5349999999999999
eas_phlash	gamma_smc_frac	40000.0	100	0.05	0.52
eas_phlash	gamma_smc_frac	50000.0	100	0.05	0.51
eas_phlash	gamma_smc_frac	75000.0	100	0.05	0.51
eas_phlash	gamma_smc_frac	100000.0	100	0.05	0.51
eas_phlash	gamma_smc_frac	150000.0	100	0.05	0.52
eas_phlash	gamma_smc_frac	200000.0	100	0.05	0.51
eas_phlash	gamma_smc_meanp	1000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	4500.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	10000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	20000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	30000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	40000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	50000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	75000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	100000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	150000.0	100	0.05	0.505
eas_phlash	gamma_smc_meanp	200000.0	100	0.05	0.505
eas_phlash	tree_truth	1000.0	100	0.05	1.0
eas_phlash	tree_truth	4500.0	100	0.01	1.0
eas_phlash	tree_truth	10000.0	100	0.03	0.55
eas_phlash	tree_truth	20000.0	100	0.05	0.51
eas_phlash	tree_truth	30000.0	100	0.05	0.6
eas_phlash	tree_truth	40000.0	100	0.05	0.5349999999999999
eas_phlash	tree_truth	50000.0	100	0.05	0.53
eas_phlash	tree_truth	75000.0	100	0.05	0.53
eas_phlash	tree_truth	100000.0	100	0.05	0.51
eas_phlash	tree_truth	150000.0	100	0.05	0.53
eas_phlash	tree_truth	200000.0	100	0.05	0.515
